,"('PC1',)","('PC2',)","('PC3',)","('U238_ppm',)","('Th232_ppm',)",oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,Dataset,GSWA_sample_id,bin
163,-2.7807191201960477,2.7604052168043074,0.9800457893992677,620.5538027499999,937.7276189500001,1.0,0.0,1.0,49.117,train,199029.0,50.0
164,-2.548886640693198,1.4812161873020129,1.113902006629652,729.4060171,1039.04885745,1.0,0.0,1.0,49.117,train,199029.0,50.0
165,-2.42778391424698,0.2919512870182309,0.3516172031949384,689.9572402,1006.4348709999999,1.0,0.0,1.0,49.117,train,199029.0,50.0
166,-2.4173762325558363,1.2475330390987471,0.8324844531235175,609.7829309,845.408962,1.0,0.0,1.0,49.117,train,199029.0,50.0
167,-3.3482830416077416,2.875241088960554,1.2993212430758272,176.50008225,428.43049474500003,1.0,0.0,1.0,49.117,train,199029.0,50.0
168,-2.435955762816077,4.3924232825863605,3.6200005648287292,433.46640105,398.4244414,1.0,0.0,1.0,49.117,train,199029.0,50.0
169,-3.255049933934257,2.9887600522645172,1.9220890428885338,572.78019215,845.2942506,1.0,0.0,1.0,49.117,train,199029.0,50.0
170,-2.7046888359201704,0.9391262936085442,2.5442565497005973,524.58002275,1080.2654977500001,1.0,0.0,1.0,49.117,train,199029.0,50.0
171,-3.1682116950623915,3.4335681086683114,3.4691775020406217,298.97470605,262.34876394500003,1.0,0.0,1.0,49.117,train,199029.0,50.0
172,-2.6596163937498307,1.5711403165205255,0.21776098596455373,581.10502585,905.1136325,1.0,0.0,1.0,49.117,train,199029.0,50.0
173,-3.281142572939513,0.5223610133839617,0.96307894384154,594.9143220999999,902.973179995,1.0,0.0,1.0,49.117,train,199029.0,50.0
174,-2.4949243829152103,2.6448313625948234,0.6878595024292254,271.54300035,531.89218575,1.0,0.0,1.0,49.117,train,199029.0,50.0
175,-2.8084337767871124,2.2391265344011813,-0.07687644114034768,543.3776518,1157.49658625,1.0,0.0,1.0,49.117,train,199029.0,50.0
176,-3.062643266508573,4.583729780741939,3.449109789892815,340.3943176,252.30383655,1.0,0.0,1.0,49.117,train,199029.0,50.0
177,-3.117978196333865,2.8542297258626594,1.4786314237191263,853.9524622,905.63084165,0.0,1.0,1.0,50.1,train,143450.0,55.0
178,-2.5053184323928543,-0.4706809916292002,-0.42209750878559515,888.3288392,2876.1593825,0.0,1.0,1.0,50.1,train,143450.0,55.0
179,-2.9486409557942785,0.07781829683460341,-0.5186144806002045,1292.8038886,5674.771728,0.0,1.0,1.0,50.1,train,143450.0,55.0
180,-3.083444056529874,1.9163020225759122,0.7509760610390909,417.63342539999996,1455.83999565,0.0,1.0,1.0,50.1,train,143450.0,55.0
181,-2.765518646728706,-0.26885094903862367,-0.2902650667919543,1227.0952572,4590.9951955,0.0,1.0,1.0,50.1,train,143450.0,55.0
182,-2.8053300825930023,1.4466672935345897,-0.10247084158200512,1173.4285872,5615.477187,0.0,1.0,1.0,50.1,train,143450.0,55.0
183,-1.9587760153070775,-2.814234533223144,-0.15563102595722322,1174.51939405,4778.355901,0.0,1.0,1.0,50.1,train,143450.0,55.0
184,-2.3255372314936222,-0.6543254451933462,-0.307604139526421,1360.9834442,4680.8401935,0.0,1.0,1.0,50.1,train,143450.0,55.0
185,-2.0122840544205687,-0.9364861235350651,-0.3194373294500993,1909.324942,7938.4929185,0.0,1.0,1.0,50.1,train,143450.0,55.0
186,-1.9985874511713737,-1.0987162906499313,0.03216319925272562,1120.85272405,5802.8378925,0.0,1.0,1.0,50.1,train,143450.0,55.0
187,-2.116946837992202,-0.19972484149694286,0.8043269114596959,754.5192367,3342.88867565,0.0,1.0,1.0,50.1,train,143450.0,55.0
188,-2.908829519929981,-1.6376999457386097,-0.7064087058101536,1346.4705586,4650.2897365,0.0,1.0,1.0,50.1,train,143450.0,55.0
189,-2.0487543821185246,0.6160073267290668,-0.017787059691073442,1317.2950356000001,6074.517566500001,0.0,1.0,1.0,50.1,train,143450.0,55.0
190,-2.2953969143296598,-1.7560478888965336,-0.453430440255927,1081.3482021,4304.167683,0.0,1.0,1.0,50.1,train,143450.0,55.0
191,-2.3118406282444273,-0.8165556123082122,0.043996389176403715,572.5112262499999,2545.1851675,0.0,1.0,1.0,50.1,train,143450.0,55.0
192,0.6046883347617319,-1.9810383015594266,0.3289635729519588,1061.6071485,884.4577643,1.0,1.0,0.0,54.516,train,178170.0,55.0
