,actual,predicted
115,63.145,44.88282
116,47.963,45.88447
117,49.965,61.03628
118,49.12,60.030293
119,67.32,54.228374
120,67.32,62.865673
121,51.967,39.518127
122,49.199,67.19531
123,59.879,73.30785
124,67.32,63.009495
125,55.698,54.321243
126,50.72,65.23092
127,50.72,48.470818
128,49.965,46.21629
0,64.15,65.98885
1,66.54,62.82045
2,64.15,63.088676
3,64.15,62.85655
4,54.665,61.606266
5,47.963,45.08316
6,53.068,63.17442
7,54.665,58.582855
8,66.18,59.511623
9,56.844,53.322964
10,65.66,62.73316
11,63.145,42.867027
12,64.02,77.52257
13,54.665,61.547802
14,49.12,66.636375
15,49.117,57.581215
16,67.32,60.12669
17,49.199,60.72433
18,66.914,68.793495
19,52.035,58.19448
20,68.51,55.82372
21,49.179,37.47294
22,61.596,59.680653
23,50.363,61.0359
24,50.02,65.33206
25,50.1,44.371044
26,68.5,66.78688
27,61.596,62.03093
28,56.844,52.87618
29,50.1,21.782566
30,63.145,48.232643
31,50.1,37.704468
32,64.15,62.76336
33,67.515,57.86217
34,50.72,60.57905
35,63.145,46.02909
36,61.596,61.187916
37,52.035,52.572514
38,55.698,58.644318
39,50.1,21.233755
40,49.199,58.90083
41,66.718,66.23281
42,52.035,61.476135
43,52.035,56.34709
44,51.967,39.23528
45,53.068,52.649414
46,65.66,64.80544
47,65.66,67.506256
48,67.32,65.49683
49,66.54,62.25021
50,46.553,40.974934
51,67.32,62.510326
52,52.035,63.566467
53,66.718,64.73665
54,66.54,53.858612
55,64.728,61.3167
56,49.157,53.617092
57,64.15,58.840885
58,66.18,59.619446
59,66.914,67.443275
60,49.157,46.544163
61,68.51,61.601204
62,66.718,63.246586
63,64.15,68.61852
64,68.51,66.01964
65,66.54,58.334488
66,61.596,63.514053
67,51.967,40.05842
68,50.565,59.21173
69,68.5,87.45498
70,61.596,65.27616
71,68.5,62.457153
72,50.72,57.87075
73,50.02,67.47267
74,64.02,53.686268
75,47.991,63.140755
76,49.199,56.385395
77,63.145,43.04523
78,59.879,63.116943
79,50.565,60.600506
80,50.72,59.09481
81,49.157,52.172035
82,49.297,54.799927
83,49.12,67.18445
84,46.553,56.25359
85,47.991,62.11265
86,53.068,52.047703
87,50.565,62.51908
88,52.035,59.74851
89,67.32,60.44602
90,68.51,58.243866
91,47.991,59.124023
92,54.665,60.04042
93,54.665,58.26407
94,67.32,60.899483
95,64.15,64.31185
96,47.991,66.69806
97,56.844,58.760586
98,66.18,64.92654
99,62.028,53.31928
100,54.665,60.766964
101,66.718,66.66649
102,51.967,39.93801
103,51.967,30.92234
104,49.117,57.244072
105,46.553,51.712914
106,47.991,61.926647
107,66.914,62.965805
108,68.51,62.501026
109,50.363,32.185093
110,59.879,91.556465
111,49.199,57.277126
112,61.596,67.33527
113,64.15,59.792458
114,62.028,55.84344
115,63.145,43.584724
116,47.963,46.97132
117,49.965,60.452934
118,49.12,58.407364
119,67.32,58.326626
120,67.32,63.624046
121,51.967,39.92451
122,49.199,68.3264
123,59.879,55.402134
124,67.32,63.86241
125,55.698,57.544662
126,50.72,66.30645
127,50.72,49.98366
128,49.965,49.88913
0,64.15,62.13765
1,66.54,59.520115
2,64.15,61.866627
3,64.15,61.422077
4,54.665,61.042446
5,47.963,42.570698
6,53.068,63.22708
7,54.665,61.057793
8,66.18,58.294224
9,56.844,52.52392
10,65.66,61.900642
11,63.145,41.6948
12,64.02,77.520744
13,54.665,60.56519
14,49.12,66.901474
15,49.117,57.351204
16,67.32,61.752403
17,49.199,64.04633
18,66.914,70.70721
19,52.035,57.048977
20,68.51,53.07008
21,49.179,37.948845
22,61.596,57.9386
23,50.363,59.403465
24,50.02,67.64884
25,50.1,39.177517
26,68.5,63.84729
27,61.596,60.755596
28,56.844,50.600353
29,50.1,21.442793
30,63.145,48.19062
31,50.1,35.618984
32,64.15,62.90394
33,67.515,56.808098
34,50.72,61.89221
35,63.145,46.46205
36,61.596,61.093887
37,52.035,51.079865
38,55.698,60.01163
39,50.1,24.95128
40,49.199,59.041462
41,66.718,63.232063
42,52.035,61.93648
43,52.035,53.791645
44,51.967,36.48537
45,53.068,55.67374
46,65.66,64.104034
47,65.66,65.33077
48,67.32,65.730675
49,66.54,58.713867
50,46.553,38.09397
51,67.32,62.79552
52,52.035,65.377464
53,66.718,60.72139
54,66.54,51.668407
55,64.728,59.56986
56,49.157,54.502747
57,64.15,57.37571
58,66.18,58.719307
59,66.914,67.134026
60,49.157,55.33208
61,68.51,62.73643
62,66.718,59.632042
63,64.15,67.26514
64,68.51,66.31573
65,66.54,58.34026
66,61.596,63.047398
67,51.967,38.158577
68,50.565,64.33558
69,68.5,83.46966
70,61.596,66.36284
71,68.5,59.136395
72,50.72,65.13982
73,50.02,66.76676
74,64.02,50.16447
75,47.991,61.61592
76,49.199,56.7968
77,63.145,42.498734
78,59.879,78.43546
79,50.565,61.987217
80,50.72,60.530483
81,49.157,53.992676
82,49.297,55.481304
83,49.12,66.513504
84,46.553,56.218445
85,47.991,61.95018
86,53.068,52.558586
87,50.565,66.900795
88,52.035,58.84236
89,67.32,59.30956
90,68.51,58.562695
91,47.991,59.35103
92,54.665,61.920273
93,54.665,59.90477
94,67.32,61.765278
95,64.15,63.317432
96,47.991,68.69704
97,56.844,57.682896
98,66.18,61.50782
99,62.028,48.83797
100,54.665,60.574715
101,66.718,62.92374
102,51.967,35.70686
103,51.967,29.954954
104,49.117,58.4411
105,46.553,52.28247
106,47.991,62.366535
